SubjectID,DecisionID,Constant,Treatment,SessionID,SwitchPoint,Gender,Complexity
1,1,1,0,1,2,0,1
1,2,1,0,1,2,0,2
1,3,1,0,1,2,0,3
1,4,1,0,1,2,0,4
1,5,1,0,1,2,0,5
1,6,1,0,1,2,0,6
1,7,1,0,1,2,0,7
1,8,1,0,1,2,0,8
1,9,1,0,1,2,0,9
1,10,1,0,1,2,0,10
1,11,1,0,1,2,0,11
1,12,1,0,1,2,0,12
1,13,1,0,1,2,0,13
1,14,1,0,1,2,0,14
1,15,1,0,1,2,0,15
2,1,1,0,1,4,1,1
2,2,1,0,1,4,1,2
2,3,1,0,1,4,1,3
2,4,1,0,1,4,1,4
2,5,1,0,1,4,1,5
2,6,1,0,1,4,1,6
2,7,1,0,1,4,1,7
2,8,1,0,1,4,1,8
2,9,1,0,1,4,1,9
2,10,1,0,1,4,1,10
2,11,1,0,1,4,1,11
2,12,1,0,1,4,1,12
2,13,1,0,1,4,1,13
2,14,1,0,1,4,1,14
2,15,1,0,1,4,1,15
3,1,1,0,1,5,0,1
3,2,1,0,1,5,0,2
3,3,1,0,1,5,0,3
3,4,1,0,1,5,0,4
3,5,1,0,1,5,0,5
3,6,1,0,1,5,0,6
3,7,1,0,1,5,0,7
3,8,1,0,1,5,0,8
3,9,1,0,1,5,0,9
3,10,1,0,1,5,0,10
3,11,1,0,1,5,0,11
3,12,1,0,1,5,0,12
3,13,1,0,1,5,0,13
3,14,1,0,1,5,0,14
3,15,1,0,1,5,0,15
4,1,1,0,1,5,1,1
4,2,1,0,1,5,1,2
4,3,1,0,1,5,1,3
4,4,1,0,1,5,1,4
4,5,1,0,1,5,1,5
4,6,1,0,1,5,1,6
4,7,1,0,1,5,1,7
4,8,1,0,1,5,1,8
4,9,1,0,1,5,1,9
4,10,1,0,1,5,1,10
4,11,1,0,1,5,1,11
4,12,1,0,1,5,1,12
4,13,1,0,1,5,1,13
4,14,1,0,1,5,1,14
4,15,1,0,1,5,1,15
5,1,1,0,1,3,0,1
5,2,1,0,1,3,0,2
5,3,1,0,1,3,0,3
5,4,1,0,1,3,0,4
5,5,1,0,1,3,0,5
5,6,1,0,1,3,0,6
5,7,1,0,1,3,0,7
5,8,1,0,1,3,0,8
5,9,1,0,1,3,0,9
5,10,1,0,1,3,0,10
5,11,1,0,1,3,0,11
5,12,1,0,1,3,0,12
5,13,1,0,1,3,0,13
5,14,1,0,1,3,0,14
5,15,1,0,1,3,0,15
6,1,1,0,1,5,1,1
6,2,1,0,1,5,1,2
